Species,Area,Units,Country,2013,2012,2011,2010,2009,2008,2007,2006
ALC,27_14_B_NK,TLW,ES,0,0,0,0,1,41,0,0
ALC,27_4,TLW,FR,0,0,0,0,0,0,0,0
ALC,27_4_AB,TLW,FR,0,0,0,0,0,0,0,0
ALC,27_5,TLW,IS,35,15,0,0,0,0,0,0
ALC,27_5,TLW,RU,0,0,0,0,0,4,0,0
ALC,27_5_A,TLW,IS,35,15,0,0,0,0,0,0
ALC,27_5_A_2,TLW,IS,35,15,0,0,0,0,0,0
ALC,27_5_B,TLW,RU,0,0,0,0,0,4,0,0
ALC,27_5_B_1,TLW,RU,0,0,0,0,0,4,0,0
ALC,27_5_B_1_NK,TLW,RU,0,0,0,0,0,4,0,0
ALC,27_6,TLW,DE,0,0,0,0,0,0,0,0
ALC,27_6,TLW,EE,0,0,0,0,0,0,0,0
ALC,27_6,TLW,ES,304,334,785,672,739,1018,0,86
ALC,27_6,TLW,FR,0,0,0,0,0,0,0,0
ALC,27_6,TLW,LT,0,26,0,0,0,22,192,317
ALC,27_6,TLW,PL,0,0,0,0,0,0,0,0
ALC,27_6,TLW,RU,0,0,0,0,0,3,0,0
ALC,27_6_A,TLW,ES,0,0,0,0,0,0,0,15
ALC,27_6_B,TLW,DE,0,0,0,0,0,0,0,0
ALC,27_6_B,TLW,EE,0,0,0,0,0,0,0,0
ALC,27_6_B,TLW,ES,304,334,785,672,739,1003,0,71
ALC,27_6_B,TLW,LT,0,26,0,0,0,0,0,0
ALC,27_6_B,TLW,PL,0,0,0,0,0,0,0,0
ALC,27_6_B,TLW,RU,0,0,0,0,0,3,0,0
ALC,27_6_B_1,TLW,ES,304,334,0,0,0,0,0,0
ALC,27_6_B_1,TLW,LT,0,26,0,0,0,0,0,0
ALC,27_6_B_NK,TLW,ES,0,0,785,672,739,1003,0,71
ALC,27_6_B_NK,TLW,RU,0,0,0,0,0,3,0,0
ALC,27_6_NK,TLW,ES,0,0,0,0,0,15,0,0
ALC,27_6_NK,TLW,LT,0,0,0,0,0,22,192,317
ALC,27_7,TLW,ES,0,0,0,0,0,0,0,0
ALC,27_7,TLW,IE,0,0,0,0,0,0,0,0
ALC,27_7,TLW,LT,0,1,0,0,0,0,0,0
ALC,27_7,TLW,UK,0,0,0,0,0,0,0,3
ALC,27_7,TLW,UKM,0,0,0,0,0,0,0,3
ALC,27_7_C,TLW,ES,0,0,0,0,0,0,0,0
ALC,27_7_C,TLW,LT,0,1,0,0,0,0,0,0
ALC,27_7_C,TLW,UK,0,0,0,0,0,0,0,0
ALC,27_7_C,TLW,UKM,0,0,0,0,0,0,0,0
ALC,27_7_C_1,TLW,LT,0,1,0,0,0,0,0,0
ALC,27_7_C_NK,TLW,ES,0,0,0,0,0,0,0,0
ALC,27_7_C_NK,TLW,UK,0,0,0,0,0,0,0,0
ALC,27_7_C_NK,TLW,UKM,0,0,0,0,0,0,0,0
ALC,27_7_J,TLW,UK,0,0,0,0,0,0,0,0
ALC,27_7_J,TLW,UKM,0,0,0,0,0,0,0,0
ALC,27_7_J_NK,TLW,UK,0,0,0,0,0,0,0,0
ALC,27_7_J_NK,TLW,UKM,0,0,0,0,0,0,0,0
ALC,27_7_K,TLW,IE,0,0,0,0,0,0,0,0
ALC,27_7_K,TLW,UK,0,0,0,0,0,0,0,3
ALC,27_7_K,TLW,UKM,0,0,0,0,0,0,0,3
ALC,27_7_K_NK,TLW,UK,0,0,0,0,0,0,0,3
ALC,27_7_K_NK,TLW,UKM,0,0,0,0,0,0,0,3
ALC,27_8,TLW,UK,0,0,0,0,0,0,0,67
ALC,27_8,TLW,UKM,0,0,0,0,0,0,0,53
ALC,27_8_D,TLW,UK,0,0,0,0,0,0,0,67
ALC,27_8_D,TLW,UKM,0,0,0,0,0,0,0,53
ALC,27_8_D_NK,TLW,UK,0,0,0,0,0,0,0,67
ALC,27_8_D_NK,TLW,UKM,0,0,0,0,0,0,0,53
ALC,27_9,TLW,PT,27,18,0,0,0,0,0,0
ALC,27_9_A,TLW,PT,27,18,0,0,0,0,0,0
ALE,27,TLW,PT,0,0,0,0,0,0,0,0
ALE,27_9,TLW,PT,0,0,0,0,0,0,0,0
ALE,27_9_A,TLW,PT,0,0,0,0,0,0,0,0
ALE,27_9_NK,TLW,PT,0,0,0,0,0,0,0,0
ALF,27,TLW,ES,30,23,69,65,58,72,74,69
ALF,27,TLW,FO,0,10,6,0,1,0,0,0
ALF,27,TLW,FR,19,8,14,20,20,23,27,36
ALF,27,TLW,IE,0,0,0,0,0,0,0,0
ALF,27,TLW,IS,0,0,0,0,0,0,0,0
ALF,27,TLW,PT,1,0,0,0,3,3,6,8
ALF,27,TLW,RU,0,0,0,5,0,0,0,0
ALF,27,TLW,UK,1,1,0,1,1,1,1,3
